待ち牌のロス数,手牌,ロスの内訳
0,1111234567,
0,1112344567,
0,1112345678,
0,1113456678,
0,1113456789,
0,1122334567,
0,1222234567,
0,1223344567,
0,1223345678,
0,1233334567,
0,1233445567,
0,1233456678,
0,1233456789,
0,1234444567,
0,1234455667,
0,1234555567,
0,1234556677,
0,1234566667,
0,1234566778,
0,1234567777,
0,1234567789,
0,1234567888,
0,1234567999,
0,2222344567,
0,2222345678,
0,2223334567,
0,2223456678,
0,2223456789,
0,2233444567,
0,2233445678,
0,2333344567,
0,2333345678,
0,2334445567,
0,2334455678,
0,2334456678,
0,2334456789,
0,2344445678,
0,2344455667,
0,2344555567,
0,2344556677,
0,2344556678,
0,2344566667,
0,2344566778,
0,2344567777,
0,2344567789,
0,2344567888,
0,2344567999,
0,2345555678,
0,2345566778,
0,2345666678,
0,2345667788,
0,2345677778,
0,2345677889,
0,2345678888,
0,2345678999,
0,3333456678,
0,3333456789,
0,3344556678,
0,3344556789,
0,3444456678,
0,3444456789,
0,3445566678,
0,3445566789,
0,3455556678,
0,3455556789,
0,3455666778,
0,3455667789,
0,3456666789,
0,3456667788,
0,3456677778,
0,3456677889,
0,3456678888,
0,3456678999,
0,3456777789,
0,3456777888,
0,3456778899,
0,3456788889,
0,3456789999,
1,1112224567,1s1枚
1,1113334567,1s1枚
1,1113445567,1s1枚
1,1113455678,1s1枚
1,1113456999,9s1枚
1,1114444567,1s1枚
1,1114455667,1s1枚
1,1114555567,1s1枚
1,1114556677,1s1枚
1,1114566667,1s1枚
1,1114566778,1s1枚
1,1114567777,1s1枚
1,1114567789,1s1枚
1,1114567888,1s1枚
1,1114567999,1s1枚
1,1233456999,9s1枚
1,2223456999,9s1枚
1,2334456999,9s1枚
1,2345567999,9s1枚
1,3333456999,9s1枚
1,3344556999,9s1枚
1,3444456999,9s1枚
1,3445566999,9s1枚
1,3455556999,9s1枚
1,3455667999,9s1枚
1,3456666999,9s1枚
1,3456777999,9s1枚
1,3456888999,9s1枚
2,1112225678,1s1枚 2s1枚
2,2334455677,3s2枚
2,2345888999,8s1枚 9s1枚
