待ち牌数,手牌,1s待ち,2s待ち,3s待ち,4s待ち,5s待ち,6s待ち,7s待ち,8s待ち,9s待ち
11,2223,4,0,3,4,0,0,0,0,0
11,2333,4,3,0,4,0,0,0,0,0
11,3334,0,4,0,3,4,0,0,0,0
11,3444,0,4,3,0,4,0,0,0,0
11,4445,0,0,4,0,3,4,0,0,0
11,4555,0,0,4,3,0,4,0,0,0
11,5556,0,0,0,4,0,3,4,0,0
11,5666,0,0,0,4,3,0,4,0,0
11,6667,0,0,0,0,4,0,3,4,0
11,6777,0,0,0,0,4,3,0,4,0
11,7778,0,0,0,0,0,4,0,3,4
11,7888,0,0,0,0,0,4,3,0,4
8,1134,0,4,0,0,4,0,0,0,0
8,1145,0,0,4,0,0,4,0,0,0
8,1156,0,0,0,4,0,0,4,0,0
8,1167,0,0,0,0,4,0,0,4,0
8,1178,0,0,0,0,0,4,0,0,4
8,2245,0,0,4,0,0,4,0,0,0
8,2256,0,0,0,4,0,0,4,0,0
8,2267,0,0,0,0,4,0,0,4,0
8,2278,0,0,0,0,0,4,0,0,4
8,2355,4,0,0,4,0,0,0,0,0
8,2366,4,0,0,4,0,0,0,0,0
8,2377,4,0,0,4,0,0,0,0,0
8,2388,4,0,0,4,0,0,0,0,0
8,2399,4,0,0,4,0,0,0,0,0
8,3356,0,0,0,4,0,0,4,0,0
8,3367,0,0,0,0,4,0,0,4,0
8,3378,0,0,0,0,0,4,0,0,4
8,3466,0,4,0,0,4,0,0,0,0
8,3477,0,4,0,0,4,0,0,0,0
8,3488,0,4,0,0,4,0,0,0,0
8,3499,0,4,0,0,4,0,0,0,0
8,4467,0,0,0,0,4,0,0,4,0
8,4478,0,0,0,0,0,4,0,0,4
8,4577,0,0,4,0,0,4,0,0,0
8,4588,0,0,4,0,0,4,0,0,0
8,4599,0,0,4,0,0,4,0,0,0
8,5578,0,0,0,0,0,4,0,0,4
8,5688,0,0,0,4,0,0,4,0,0
8,5699,0,0,0,4,0,0,4,0,0
8,6799,0,0,0,0,4,0,0,4,0
7,1112,0,3,4,0,0,0,0,0,0
7,1113,0,4,3,0,0,0,0,0,0
7,1222,3,0,4,0,0,0,0,0,0
7,1333,3,4,0,0,0,0,0,0,0
7,2224,0,0,4,3,0,0,0,0,0
7,2444,0,3,4,0,0,0,0,0,0
7,3335,0,0,0,4,3,0,0,0,0
7,3555,0,0,3,4,0,0,0,0,0
7,4446,0,0,0,0,4,3,0,0,0
7,4666,0,0,0,3,4,0,0,0,0
7,5557,0,0,0,0,0,4,3,0,0
7,5777,0,0,0,0,3,4,0,0,0
7,6668,0,0,0,0,0,0,4,3,0
7,6888,0,0,0,0,0,3,4,0,0
7,7779,0,0,0,0,0,0,0,4,3
7,7999,0,0,0,0,0,0,3,4,0
7,8889,0,0,0,0,0,0,4,0,3
7,8999,0,0,0,0,0,0,4,3,0
6,1123,2,0,0,4,0,0,0,0,0
6,1234,3,0,0,3,0,0,0,0,0
6,2234,0,2,0,0,4,0,0,0,0
6,2344,4,0,0,2,0,0,0,0,0
6,2345,0,3,0,0,3,0,0,0,0
6,3345,0,0,2,0,0,4,0,0,0
6,3455,0,4,0,0,2,0,0,0,0
6,3456,0,0,3,0,0,3,0,0,0
6,4456,0,0,0,2,0,0,4,0,0
6,4566,0,0,4,0,0,2,0,0,0
6,4567,0,0,0,3,0,0,3,0,0
6,5567,0,0,0,0,2,0,0,4,0
6,5677,0,0,0,4,0,0,2,0,0
6,5678,0,0,0,0,3,0,0,3,0
6,6678,0,0,0,0,0,2,0,0,4
6,6788,0,0,0,0,4,0,0,2,0
6,6789,0,0,0,0,0,3,0,0,3
6,7899,0,0,0,0,0,4,0,0,2
4,1122,2,2,0,0,0,0,0,0,0
4,1124,0,0,4,0,0,0,0,0,0
4,1133,2,0,2,0,0,0,0,0,0
4,1135,0,0,0,4,0,0,0,0,0
4,1144,2,0,0,2,0,0,0,0,0
4,1146,0,0,0,0,4,0,0,0,0
4,1155,2,0,0,0,2,0,0,0,0
4,1157,0,0,0,0,0,4,0,0,0
4,1166,2,0,0,0,0,2,0,0,0
4,1168,0,0,0,0,0,0,4,0,0
4,1177,2,0,0,0,0,0,2,0,0
4,1179,0,0,0,0,0,0,0,4,0
4,1188,2,0,0,0,0,0,0,2,0
4,1189,0,0,0,0,0,0,4,0,0
4,1199,2,0,0,0,0,0,0,0,2
4,1244,0,0,4,0,0,0,0,0,0
4,1255,0,0,4,0,0,0,0,0,0
4,1266,0,0,4,0,0,0,0,0,0
4,1277,0,0,4,0,0,0,0,0,0
4,1288,0,0,4,0,0,0,0,0,0
4,1299,0,0,4,0,0,0,0,0,0
4,1344,0,4,0,0,0,0,0,0,0
4,1355,0,4,0,0,0,0,0,0,0
4,1366,0,4,0,0,0,0,0,0,0
4,1377,0,4,0,0,0,0,0,0,0
4,1388,0,4,0,0,0,0,0,0,0
4,1399,0,4,0,0,0,0,0,0,0
4,2233,0,2,2,0,0,0,0,0,0
4,2235,0,0,0,4,0,0,0,0,0
4,2244,0,2,0,2,0,0,0,0,0
4,2246,0,0,0,0,4,0,0,0,0
4,2255,0,2,0,0,2,0,0,0,0
4,2257,0,0,0,0,0,4,0,0,0
4,2266,0,2,0,0,0,2,0,0,0
4,2268,0,0,0,0,0,0,4,0,0
4,2277,0,2,0,0,0,0,2,0,0
4,2279,0,0,0,0,0,0,0,4,0
4,2288,0,2,0,0,0,0,0,2,0
4,2289,0,0,0,0,0,0,4,0,0
4,2299,0,2,0,0,0,0,0,0,2
4,2455,0,0,4,0,0,0,0,0,0
4,2466,0,0,4,0,0,0,0,0,0
4,2477,0,0,4,0,0,0,0,0,0
4,2488,0,0,4,0,0,0,0,0,0
4,2499,0,0,4,0,0,0,0,0,0
4,3344,0,0,2,2,0,0,0,0,0
4,3346,0,0,0,0,4,0,0,0,0
4,3355,0,0,2,0,2,0,0,0,0
4,3357,0,0,0,0,0,4,0,0,0
4,3366,0,0,2,0,0,2,0,0,0
4,3368,0,0,0,0,0,0,4,0,0
4,3377,0,0,2,0,0,0,2,0,0
4,3379,0,0,0,0,0,0,0,4,0
4,3388,0,0,2,0,0,0,0,2,0
4,3389,0,0,0,0,0,0,4,0,0
4,3399,0,0,2,0,0,0,0,0,2
4,3566,0,0,0,4,0,0,0,0,0
4,3577,0,0,0,4,0,0,0,0,0
4,3588,0,0,0,4,0,0,0,0,0
4,3599,0,0,0,4,0,0,0,0,0
4,4455,0,0,0,2,2,0,0,0,0
4,4457,0,0,0,0,0,4,0,0,0
4,4466,0,0,0,2,0,2,0,0,0
4,4468,0,0,0,0,0,0,4,0,0
4,4477,0,0,0,2,0,0,2,0,0
4,4479,0,0,0,0,0,0,0,4,0
4,4488,0,0,0,2,0,0,0,2,0
4,4489,0,0,0,0,0,0,4,0,0
4,4499,0,0,0,2,0,0,0,0,2
4,4677,0,0,0,0,4,0,0,0,0
4,4688,0,0,0,0,4,0,0,0,0
4,4699,0,0,0,0,4,0,0,0,0
4,5566,0,0,0,0,2,2,0,0,0
4,5568,0,0,0,0,0,0,4,0,0
4,5577,0,0,0,0,2,0,2,0,0
4,5579,0,0,0,0,0,0,0,4,0
4,5588,0,0,0,0,2,0,0,2,0
4,5589,0,0,0,0,0,0,4,0,0
4,5599,0,0,0,0,2,0,0,0,2
4,5788,0,0,0,0,0,4,0,0,0
4,5799,0,0,0,0,0,4,0,0,0
4,6677,0,0,0,0,0,2,2,0,0
4,6679,0,0,0,0,0,0,0,4,0
4,6688,0,0,0,0,0,2,0,2,0
4,6689,0,0,0,0,0,0,4,0,0
4,6699,0,0,0,0,0,2,0,0,2
4,6899,0,0,0,0,0,0,4,0,0
4,7788,0,0,0,0,0,0,2,2,0
4,7799,0,0,0,0,0,0,2,0,2
4,8899,0,0,0,0,0,0,0,2,2
3,1114,0,0,0,3,0,0,0,0,0
3,1115,0,0,0,0,3,0,0,0,0
3,1116,0,0,0,0,0,3,0,0,0
3,1117,0,0,0,0,0,0,3,0,0
3,1118,0,0,0,0,0,0,0,3,0
3,1119,0,0,0,0,0,0,0,0,3
3,1235,0,0,0,0,3,0,0,0,0
3,1236,0,0,0,0,0,3,0,0,0
3,1237,0,0,0,0,0,0,3,0,0
3,1238,0,0,0,0,0,0,0,3,0
3,1239,0,0,0,0,0,0,0,0,3
3,1345,3,0,0,0,0,0,0,0,0
3,1444,3,0,0,0,0,0,0,0,0
3,1456,3,0,0,0,0,0,0,0,0
3,1555,3,0,0,0,0,0,0,0,0
3,1567,3,0,0,0,0,0,0,0,0
3,1666,3,0,0,0,0,0,0,0,0
3,1678,3,0,0,0,0,0,0,0,0
3,1777,3,0,0,0,0,0,0,0,0
3,1789,3,0,0,0,0,0,0,0,0
3,1888,3,0,0,0,0,0,0,0,0
3,1999,3,0,0,0,0,0,0,0,0
3,2225,0,0,0,0,3,0,0,0,0
3,2226,0,0,0,0,0,3,0,0,0
3,2227,0,0,0,0,0,0,3,0,0
3,2228,0,0,0,0,0,0,0,3,0
3,2229,0,0,0,0,0,0,0,0,3
3,2346,0,0,0,0,0,3,0,0,0
3,2347,0,0,0,0,0,0,3,0,0
3,2348,0,0,0,0,0,0,0,3,0
3,2349,0,0,0,0,0,0,0,0,3
3,2456,0,3,0,0,0,0,0,0,0
3,2555,0,3,0,0,0,0,0,0,0
3,2567,0,3,0,0,0,0,0,0,0
3,2666,0,3,0,0,0,0,0,0,0
3,2678,0,3,0,0,0,0,0,0,0
3,2777,0,3,0,0,0,0,0,0,0
3,2789,0,3,0,0,0,0,0,0,0
3,2888,0,3,0,0,0,0,0,0,0
3,2999,0,3,0,0,0,0,0,0,0
3,3336,0,0,0,0,0,3,0,0,0
3,3337,0,0,0,0,0,0,3,0,0
3,3338,0,0,0,0,0,0,0,3,0
3,3339,0,0,0,0,0,0,0,0,3
3,3457,0,0,0,0,0,0,3,0,0
3,3458,0,0,0,0,0,0,0,3,0
3,3459,0,0,0,0,0,0,0,0,3
3,3567,0,0,3,0,0,0,0,0,0
3,3666,0,0,3,0,0,0,0,0,0
3,3678,0,0,3,0,0,0,0,0,0
3,3777,0,0,3,0,0,0,0,0,0
3,3789,0,0,3,0,0,0,0,0,0
3,3888,0,0,3,0,0,0,0,0,0
3,3999,0,0,3,0,0,0,0,0,0
3,4447,0,0,0,0,0,0,3,0,0
3,4448,0,0,0,0,0,0,0,3,0
3,4449,0,0,0,0,0,0,0,0,3
3,4568,0,0,0,0,0,0,0,3,0
3,4569,0,0,0,0,0,0,0,0,3
3,4678,0,0,0,3,0,0,0,0,0
3,4777,0,0,0,3,0,0,0,0,0
3,4789,0,0,0,3,0,0,0,0,0
3,4888,0,0,0,3,0,0,0,0,0
